PERIODO;NOMBRE;GÉNERO;AÑO DE NACIMIENTO;CODIGO DANE;DEPARTAMENTO DE NACIMIENTO;CIUDAD DE NACIMIENTO;PARTIDO;NÚMERO DE VOTOS;COMISIÓN CONSTITUCIONAL;COMISIÓN LEGAL;CORREO ELECTRÓNICO;TWITTER;FACEBOOK;PAGINA WEB;TELEFONO;EXT
2018-2022;Acuña Díaz Laureano Augusto;Masculino;25 de marzo de 1971;8;Atlantico;Barranquilla;Conservador;82,854;Cuarta;Comisión de Ética y Estatuto del Congresista;laureano.acuna@senado.gov.co;@LaureanoAcuDiaz;facebook.com/laureanoaugusto.acunadiaz;ND;57(1) - 382300;0
2018-2022;Agudelo García Ana Paola;Femenino;8 de mayo de 1983;73;Tolima;Ibague;Partido Mira;71,231;Segunda;Comisión Legal para la Equidad de la Mujer. Comisión Asesora de Relaciones Exteriores;ana.agudelo@senado.gov.co;@AnaPaolaAgudelo;facebook.com/AnaPaolaAgudelo/;https://anapaolaagudelo.com/;57(1) - 382300;3,01
2018-2022;Agudelo Zapata Iván Darío;Masculino;15 de agosto de 1967;5;Antioquia;Medellin;Liberal;67,457;Sexta;Comisión de Derechos Humanos;Juntosconivan14@gmail.com;@IvanAgudeloZ;facebook.com/ivan.d.zapata.9;ND;57(1) - 382300;3,15
2018-2022;Aguilar Villa Richard Alfonso;Masculino;26 de septiembre de 1981;70;Sucre;Tolu;Cambio Radical;76,942;Tercera;ND;richard.aguilar@senado.gov.co;@RichardAguilarV;facebook.com/richardaguilar26;http://www.richardaguilar.com;57(1) - 382300;3,335
2018-2022;Amín Escaf Miguel;Masculino;5 de septiembre de 1948;8;Atlantico;Barranquilla;Partido de la U;69,295;Cuarta;ND;miguelaminescaf@yahoo.com;ND;facebook.com/Miguel-Amin-Oficial-732501546782767/;ND;57(1) - 382300;3,74
2018-2022;Amín Saleme Fabio Raúl;Masculino;15 de octubre de 1976;23;Cordoba;Lorica;Liberal;83,725;Primera;ND;fabio.amin@senado.gov.co;@FabioAminSaleme;facebook.com/FabioAminSaleme/;ND;57(1) - 382300;5,051
2018-2022;Andrade Serrano Esperanza;Femenino;14 marzo de 1957;41;Huila;Neiva;Conservador;69,056;Primera;Comisión Legal para la Equidad de la Mujer;esperanza.andrade@senado.gov.co;ND;ND;ND;57(1) - 382300;0
2018-2022;Araújo Rumié Fernando Nicolás;Masculino;16 de mayo de 1983;13;Bolivar;Cartagena;Centro Democrático;27,866;Tercera;ND;nicolas.araujo@senado.gov.co;@fnaraujor;facebook.com/SenadorFernandoNicolas;http://senadoraraujo.co/;57(1) - 382300;3,359
2018-2022;Arias Castillo Wilson Neber;Masculino;17 de diciembre de 1962;76;Valle del Cauca;Cali;Polo Democrático Alternativo;15,279;Cuarta;Comisión de Ética y Estatuto del Congresista;wilson.arias@senado.gov.co;@wilsonariasc;facebook.com/WilsonAriasC/;https://comunwa.blogspot.com/;57(1) - 382300;3,275
2018-2022;Avella Esquivel Aída Yolanda;Femenino;23 de enero 1949;15;Boyacá;Sogamoso;Coalición Lista de la Decencia;57,175;Cuarta;Comisión Legal para la Equidad de la Mujer;aida.avella@senado.gov.co;@AidaAvellaE;facebook.com/aidaavellae/;ND;57(1) - 382300;3,71
2018-2022;Barguil Assis David Alejandro;Masculino;23 de junio de 1981;23;Cordoba;Cerete;Conservador;139,147;Tercera;ND;david.barguil@senado.gov.co;@davidbarguil;facebook.com/davidbarguil;ND;57(1) - 382300;0
2018-2022;Barreras Montealegre Roy Leonardo;Masculino;27 de noviembre de 1963;11;Distrito Capital;Bogotá;Partido de la U;110,358;Primera;ND;roybarreras@gmail.com;@RoyBarreras;facebook.com/Roybarrerassenador;ND;57(1) - 382300;5,496
2018-2022;Barreto Castillo Miguel Ángel;Masculino;6 de abril de 1978;15;Boyacá;Sutatenza;Conservador;79,98;Sexta;ND;miguel.barreto@senado.gov.co;@MIgueBarretoC;facebook.com/MiguelBarretoC;ND;57(1) - 382300;3,178
2018-2022;Bedoya Pulgarín Julián;Masculino;7 de octubre de 1980;5;Antioquia;Medellin;Liberal;74,585;Cuarta;ND;julian.bedoya@senado.gov.co;@JulianBedoyaL17;facebook.com/JulianBedoyaP;ND;57(1) - 382300;3,246
2018-2022;Benedetti Villaneda Armando Alberto;Masculino;29 de agosto de 1967;8;Atlantico;Barranquilla;Partido de la U;72,576;Primera;ND;armando.benedetti.villaneda@senado.gov.co;@AABenedetti;facebook.com/aabenedetti;http://www.armandobenedetti.com/;;5,331
2018-2022;Besaile Fayad John Moisés;Masculino;22 de agosto de 1969;23;Cordoba;Sahagun;Partido de la U;77,448;Sexta;ND;utljohnmoisesbesaile@gmail.com;@Jhonybesailef;facebook.com/JhonyBesaile;ND;57(1) - 382301;4,123
2018-2022;Blel Scaf Nadya Georgette;Femenino;11 de agosto de 1981;13;Bolivar;Cartagena;Conservador;69,84;Séptima;Comisión de Administración;nadia.blel@senado.gov.co;@nadiablel;facebook.com/nadia.blel;ND;57(1) - 382300;3,715
2018-2022;Bolívar Moreno Gustavo;Masculino;22 de junio de 1965;25;Cundinamarca;Girardot;Coalición Lista de la Decencia;116,505;Tercera;Comisión de Acreditación Documental;senadorgustavobolivar@gmail.com;@GustavoBolivar;facebook.com/gustavobolivarsincensura/;ND;57(1) - 382300;3,277
2018-2022;Cabal Molina María Fernanda;Femenino;8 de Agosto de 1964;76;Valle del Cauca;Cali;Centro Democrático;37,905;Primera;ND;maria.cabal@senado.gov.co;@MariaFdaCabal;facebook.com/MariaFdaCabal/;http://mariafernandacabal.com/;57(1) - 382300;3,422
2018-2022;Castañeda Gómez Ana María;Femenino;27 de diciembre de 1984;70;Sucre;Sincelejo;Cambio Radical;53,947;Sexta;Comisión de Ética y Estatuto del Congresista. Comisión Legal para la Equidad de la Mujer;ana.castaneda@senado.gov.co;@AnyMarCas;facebook.com/AnyMarCas/;https://www.anamariasenadora.com/;57(1) - 382300;3,698
2018-2022;Castaño Perez Mario Alberto;Masculino;8 de diciembre de 1971;17;Caldas;Pacora;Liberal;73,079;Cuarta;Comisión de Administración;mario.castano@senado.gov.co;@mariocaspe;facebook.com/senadormariocastano/;ND;57(1) - 382300;3,523
